id,numberKind,parentId,counts,bound,excludeReason,sourceLine,notes
amazon-mississippi-warren-3b,unresolved,,no,exact,,"Amazon announced at least 3 billion dollars for a next-generation data center campus in Warren County (Vicksburg), Mississippi, the largest private...","capex only, MW null. unresolved. counts=no."
amazon-pennsylvania-20b-datacenters,unresolved,,no,exact,,"Amazon announced at least 20 billion dollars in Pennsylvania data center investment, the largest capital investment in state history, with initial campuses...","capex only, MW null. unresolved. counts=no."
amazon-talen-1920mw-ppa-2025,offtake_existing,,no,up_to,,"1,920 MW at full contract quantity through 2042","Susquehanna existing-plant nuclear offtake up to 1,920 MW. Not new watts. Different kind from 960 IT. Contract date: no source. COD: no source."
amazon-talen-cumulus-acquisition,it_capacity,,yes,exact,,960 MW Cumulus campus potential,"Cumulus campus capacity 960 MW at Susquehanna. Different kind from the 1,920 MW nuclear offtake."
amazon-xenergy-500m-investment,unresolved,,no,exact,,"Amazon's Climate Pledge Fund anchored an approximately 500 million dollar Series C-1 financing round for SMR developer X-energy, alongside Citadel's Ken...","capex only, MW null. unresolved. counts=no."
anthropic-amazon-5gw-trainium,it_capacity,,no,up_to,,up to 5 gigawatts,Desk: announced up to 5 GW AWS Trainium. Bound up_to forces counts=no.
anthropic-fluidstack-50b-tx-ny,it_capacity,,no,exact,mw_null,"Anthropic announced a 50 billion dollar plan to build custom US data centers with partner Fluidstack, starting in Texas and New York, with first sites going...",Datacenter commitment with null MW. Counts=no.
anthropic-google-broadcom-tpu,it_capacity,,no,at_least,,well over a gigawatt,"Desk: at least / well over a gigawatt floor, not firm 1,000. Bound at_least forces counts=no. Announced (counts=no)."
anthropic-justified-kentucky-it-401,it_capacity,,no,exact,,"TeraWulf signed a 20-year lease with Anthropic for about 401 MW of critical IT load at the Justified Data campus in Hawesville, Kentucky. The Kentucky PSC...",Justified 401 MW contracted IT. Announced.
aws-humain-ai-zone-saudi-arabia,it_capacity,,no,exact,,AWS and Saudi PIF backed HUMAIN announced a more than 5 billion dollar partnership to build a dedicated AI Zone in Saudi Arabia for training and deploying...,Datacenter commitment with null MW. Counts=no. Announced (counts=no).
aws-india-12-7bn-cloud,unresolved,,no,exact,,"AWS announced a 12.7 billion dollar investment in Indian cloud infrastructure by 2030, building on its Mumbai and Hyderabad regions. Subsequent allocations...","capex only, MW null. unresolved. counts=no."
aws-indiana-11b-newcarlisle,unresolved,,no,exact,,"AWS announced an 11 billion dollar data center campus near New Carlisle in St. Joseph County, the largest capital investment in Indiana history. A later 15...","capex only, MW null. unresolved. counts=no."
aws-mississippi-10b-madison,unresolved,,no,exact,,"AWS announced a 10 billion dollar investment in two hyperscale data center complexes in Madison County, Mississippi, the largest capital investment in state...","capex only, MW null. unresolved. counts=no."
aws-uk-8bn-datacenters,unresolved,,no,exact,,"AWS announced plans to invest 8 billion pounds over five years (2024 to 2028) to build and operate UK data centers, estimated to add 14 billion pounds to UK...","capex only, MW null. unresolved. counts=no."
baidu-carbon-neutral-2030,program,,no,exact,,"Baidu committed to achieving carbon neutrality across its operations, including its AI Cloud data centers, by 2030, paired with green power procurement and...",Corporate renewable / carbon pledge with no project MW. Treated as program/framework. Never counts. Announced (counts=no).
bloom-brookfield-fuel-cells,equipment_supply,,no,up_to,,"up to 1,000 MW","equipment_supply up to 1,000 MW fuel cells. Never counts. Dead source URL previously; bound up_to. Energy GUY condition 5."
chindata-100-renewable-2030,program,,no,exact,,"Chindata Group pledged to power its hyperscale campuses with 100 percent renewable energy and reach carbon neutrality by 2030, among the first net-zero...",Corporate renewable / carbon pledge with no project MW. Treated as program/framework. Never counts. Announced (counts=no).
coreweave-applied-digital-ellendale,it_capacity,,yes,exact,,175 MW at Polaris Forge 1 was already live,Ellendale 400 MW lease construction. Desk fix note: energized 175 (Applied Digital 1 Jul 2026); rest of 400 stays construction.
coreweave-corescientific-13gw,it_capacity,,no,exact,,approximately 1.3 GW of capacity across Core Scientific sites,"footprint of terminated acquisition; not removed. Counts=no. Site IT replace path is five PENDING APPEND rows (Denton 262, Dalton 175, Muskogee 70, Marble 65, Austin 16.5), not children of this row."
coreweave-cs-austin-16-5,it_capacity,,yes,exact,,"The Austin Campus (as defined below) was completed in 2024. Austin, TX ... Critical IT Capacity (MW) 16.5 ... Grid Capacity (MW) 20.","PENDING APPEND. Contracted IT Ex. 99.2. Status operational per filing (""The Austin Campus (as defined below) was completed in 2024""). Energized empty (no delivered-MW figure in filing). Grid 20 off. Never add to live 1,300."
coreweave-cs-dalton-175,it_capacity,,yes,exact,,"Dalton, GA (""Dalton 1"") ... 30 and Dalton, GA (""Dalton 4"") ... 145 under Critical IT Capacity (MW).","PENDING APPEND. ONE row at 175 MW contracted IT. Phases in filing only: Dalton 1 = 30 MW, Dalton 4 = 145 MW (do not split into two atlas rows). Status construction per Ex. 99.2 (Dalton 1 start/substantial H1 2026; Dalton 4 start H2 2026 / substantial H1 2027). Energized empty (filing does not state delivered MW). Never add to live 1,300. Grid columns off."
coreweave-cs-denton-262,it_capacity,,yes,exact,,"Denton, TX ... Critical IT Capacity (MW) 262 ... Grid Capacity (MW) 394.","PENDING APPEND. Contracted IT from Core Scientific Ex. 99.2 (Apr 2026). Status construction per filing (""132 MW were billable as of March 2026, representing 50% completion"" - billable is not energized). Energized empty. Grid 394 off. Never add to live 1,300 collapsed M&A row."
coreweave-cs-marble-65,it_capacity,,yes,exact,,"Marble, NC ... Critical IT Capacity (MW) 65 ... Grid Capacity (MW) 117.","PENDING APPEND. Contracted IT Ex. 99.2. Status construction per filing (Anticipated Starting Delivery Complete; substantial H1 2026). Energized empty. Grid 117 off. Never add to live 1,300."
coreweave-cs-muskogee-70,it_capacity,,yes,exact,,"Muskogee, OK ... Critical IT Capacity (MW) 70 ... Grid Capacity (MW) 100.","PENDING APPEND. Contracted IT Ex. 99.2. Status construction per filing (start and substantial H1 2026). Energized empty. Grid 100 off. Never add to live 1,300."
coreweave-galaxy-helios-phase1-it-133,it_capacity,,yes,exact,,"Galaxy said on 6 July 2026 that Helios Phase I in West Texas was delivered on schedule: about 200 MW gross and 133 MW of critical IT load to CoreWeave, with...",Helios Phase I 133 MW critical IT delivered.
coreweave-lancaster-pa-6b,it_capacity,,yes,exact,,"CoreWeave announced an up to 6 billion dollar AI data center in Lancaster, Pennsylvania, initially supporting 100 MW of IT capacity with potential to expand...","Lancaster 300 MW DC (settled 100-300 range, keep 300)."
coreweave-related-cheyenne-it-88,it_capacity,,yes,exact,,Related Digital broke ground on 7 October 2025 on a Cheyenne campus designed for up to 302 MW of critical IT. CoreWeave is the anchor tenant on a long-term...,Cheyenne 88 MW critical IT lease.
crusoe-abilene-gas-engine-no-1,btm_gen,,no,up_to,,up to 4.5 GW of natural gas,Up to 4.5 GW gas access story. Bound up_to forces counts=no. Not the permitted 360 MW.
crusoe-abilene-stargate-12gw,it_capacity,stargate-project-500b-announcement,yes,exact,,expands AI data center campus in Abilene to 1.2 gigawatts,Canonical Abilene Stargate Site 1 IT row (construction toward 1.2 GW). Twin operational row counts=no.
crusoe-engineno1-45gw-gas,btm_gen,,no,up_to,,up to 4.5 GW,Engine No.1 JV headline up to 4.5 GW BTM gas. Announced. Soft.
edgeconnex-pcx-ii-new-albany-216,btm_gen,,yes,exact,,up to 216 MW,PowerConneX II New Albany BTM 216 MW. Construction. Desk: counts yes as btm_gen.
fermi-matador-gas-6000,btm_gen,,no,exact,,"The Project's nominal generation capacity will be approximately 6,000 MW.","btm_gen 6,000 MW (PENDING APPEND). counts=no (announced/permit). No ERCOT GIS Aug 2026 or SPP GI Active (9/24/2026) entry; TCEQ tech review: solely onsite, will not sell; Carson County is SPS/SPP territory. Source: /workspace/energy-desk/hypergrid/commitment-diffs/2026-09-24-ercot-queue-check-matador-gwranch.md. Never add to tensorwave-fermi-matador-facility-222."
fleet-peru-ridge-btm-218,btm_gen,,no,exact,,218 MW natural gas self-generation,Peru Ridge BTM gas. Announced so counts=no.
fleet-south-valley-btm-144,btm_gen,,no,exact,,144 MW temporary power generation,South Valley BTM gas. Announced so counts=no.
fluidstack-abernathy-it-168,it_capacity,,yes,exact,,168 MW critical IT,Abernathy contracted IT 168. Construction.
fluidstack-barber-lake-it-207,it_capacity,,yes,exact,,207 MW critical IT,Barber Lake contracted IT 207. Construction.
fluidstack-cameron-county-tx-1500,it_capacity,,no,up_to,,planned to support up to 1.5 GW,Desk: campus design IT up to 1.5 GW. Design up to does not count in firm totals.
fluidstack-lake-mariner-it-360,it_capacity,,yes,exact,,more than 200 MW critical IT and a 160 MW CB-5 exclusivity,Lake Mariner contracted IT 360. Construction. Keep existing values.
fluidstack-meridian-arc-indiana-it-430,it_capacity,,no,exact,,245 MW and 185 MW critical IT halls,Meridian Arc contracted IT 430. Announced so counts=no.
fluidstack-river-bend-it-245,it_capacity,,yes,exact,,245 MW AI data center lease,River Bend contracted IT 245. Construction.
gds-100-renewable-2030,program,,no,exact,,"GDS Holdings, China's largest carrier-neutral data center operator, committed to use 100 percent renewable energy and reach carbon neutrality by 2030,...",Corporate renewable / carbon pledge with no project MW. Treated as program/framework. Never counts. Announced (counts=no).
goodnight-one-crusoe-265-5,utility_load,,no,exact,,the net metering arrangement between GOODNIT1 and the 265.5 MW large load.,HOLD. PENDING APPEND. PUCT/ERCOT large-load demand 265.5 MW (Crusoe One). Announced. Do not confuse with wind 265.5 nameplate. Not IT. Energy GUY: utility_load confirmed. Counts=no.
goodnight-two-ensign-260,utility_load,,no,exact,,a new 260 MW artificial-intelligence data-center complex.,HOLD. PENDING APPEND. PUCT/ERCOT large-load demand 260 MW (Ensign / Crusoe Two). Announced. Not IT. Not wind nameplate. Energy GUY: utility_load confirmed. Counts=no.
google-adani-airtel-visakhapatnam-ai-hub,it_capacity,,no,exact,mw_null,gigawatt-scale compute,"Desk: MW should be null (release says gigawatt-scale, not 5,000). Counts=no. Fix pending."
google-baseload-geothermal-taiwan,offtake_new,,no,exact,,"Google signed Taiwan's first corporate geothermal power purchase agreement with Baseload Capital for 10 MW of always-on power, plus a direct equity...",Taiwan 10 MW geothermal PPA. ppa/matching; counts=no unless construction/operational firm rule applies. Contract date: no source. COD: no source.
google-cfs-fusion-200mw-arc-virginia,offtake_new,,no,exact,,200 MW offtake,CFS ARC fusion 200 MW offtake from new plant. Announced. Contract date: no source. COD: no source.
google-clearway-1170mw-ppa,offtake_new,,no,exact,,"Google signed PPAs totaling about 1.17 GW of solar and wind capacity with Clearway Energy Group across Missouri, Texas, and West Virginia, representing...",Clearway portfolio PPAs totaling 1.17 GW. ppa/matching; counts=no unless construction/operational firm rule applies. Contract date: no source. COD: no source.
google-elementl-power-1800mw-nuclear,offtake_new,,no,at_least,,each at least 600 MW,Three sites each at least 600 MW development option. Bound at_least. Exploratory. Contract date: no source. COD: no source.
google-fervo-cape-station-ppa-396,offtake_new,,no,exact,,396 MW PPA,Cape Station firm geothermal PPA 396 MW (new build). Settled. ppa-signed counts=no. Contract date: no source. COD: no source.
google-fervo-cape-station-utah,offtake_new,google-fervo-cape-station-ppa-396,no,exact,duplicate,100 MW,Cape Station 100 MW construction slice; do not sum with 396 PPA. Child of PPA row. Contract date: no source. COD: no source.
google-fervo-project-red-nevada,offtake_existing,,no,exact,unverified,"Google partnered with Fervo Energy on Project Red, the first corporate agreement to develop an enhanced geothermal system. The 3.5 MW pilot in northern...",HOLD: Google blog does not state 3.5 MW. Operational geothermal pilot. Counts=no until primary states MW. Contract date: no source. COD: no source.
google-finland-wind-portfolio-629,offtake_new,,no,exact,,Google said two onshore wind projects with Valorem and Suomen Hyotytuuli bring the total new-to-the-grid onshore wind it has contracted in Finland to 629...,Finland onshore wind portfolio offtake 629 MW. ppa/matching; counts=no unless construction/operational firm rule applies. Contract date: no source. COD: no source.
google-fortum-loviisa-nuclear-offtake-507,offtake_existing,,no,up_to,,up to 50 percent,Loviisa existing nuclear offtake share derived (~507 from up to 50 percent). Settled soft pin. Bound up_to. Contract date: no source. COD: no source.
google-germany-55bn-expansion,unresolved,,no,exact,,"Google announced a 5.5 billion euro investment in Germany through 2029, including a new data center in Dietzenbach, continued buildout at the Hanau campus,...","capex only, MW null. unresolved. counts=no."
google-germany-engie-cfe-hanau,offtake_existing,,yes,exact,,"Google partnered with ENGIE to assemble a 140 MW carbon-free energy portfolio of solar and life-extended wind parks to power its German operations,...",offtake_existing 140 MW ENGIE CFE portfolio (Germany/Hanau). Contract signed 31 Aug 2021 (ENGIE https://www.engie-deutschland.de/en/press/google-and-engie-sign-first-co2-free-power-supply-agreement-europe-247-availability). Mix: new 39 MW solar (COD planned 2023) + 22 wind parks life-extended beyond EEG. No primary splits the 140 MW into solar vs wind shares => do not split rows; whole 140 is offtake_existing (life-extended wind already existed at signing; solar share not separately stated). COD: portfolio supplying ~80% CFE by 2022 (ENGIE). Counts=yes.
google-intersect-tpg-energy-parks-20b,unresolved,,no,exact,,"Google, Intersect Power, and TPG Rise Climate announced a partnership to build industrial parks with gigawatts of data center capacity co-located with new...","capex only, MW null. unresolved. counts=no."
google-kairos-power-500mw-fleet,offtake_new,,no,exact,,500 MW fleet by 2035,Kairos SMR fleet target 500 MW by 2035. Announced. Parent of Hermes 2. Contract date: no source. COD: no source.
google-kairos-tva-hermes2-oak-ridge,offtake_new,google-kairos-power-500mw-fleet,no,up_to,,up to 50 MW from Hermes 2,"Hermes 2 up to 50 MW, first deployment under 500 MW Kairos fleet. Bound up_to. Inside parent. Contract date: no source. COD: no source."
google-kajaani-bess-94,storage,,no,exact,,94 MW battery,storage 94 MW BESS (Google Finland/Kajaani). counts=no always. MWh: no source (primary MW only in existing atlas; MWh not verified this pass). Energy GUY condition 6; new key storage.
google-nextera-duane-arnold,offtake_existing,,no,exact,,more than 600 MW,Duane Arnold restart; 615 MW is plant nameplate not Google share. Announced. Counts=no. Contract date: no source. COD: no source.
google-nv-energy-clean-transition-tariff-corsac,offtake_new,,yes,exact,,"Google, NV Energy, and Fervo Energy agreed on a first-of-its-kind Clean Transition Tariff under which NV Energy buys 115 MW of 24/7 enhanced geothermal...","offtake_new 115 MW Fervo Corsac enhanced geothermal via NV Energy Clean Transition Tariff. Contract/announcement 7 Jun 2024 (Google https://blog.google/outreach-initiatives/sustainability/nv-energy-fervo-clean-transition-tariff/). PUCN approved 13 May 2025. COD: not yet operating (construction expected 2026, COD ~2027; Power Technology profile). Rule: signed before COD => offtake_new. Status construction; counts=yes."
google-storey-county-nevada-datacenter,it_capacity,,no,exact,mw_null,"Google operates and continues to expand data centers at the Tahoe Reno Industrial Center in Storey County, Nevada, the anchor load behind its Fervo...",Datacenter commitment with null MW. Counts=no.
google-tae-technologies-fusion-investment,unresolved,,no,exact,,"Google participated in TAE Technologies' funding round of more than $150 million alongside Chevron and NEA, building on its investment in the California...","capex only, MW null. unresolved. counts=no."
holtec-palisades-restart,offtake_existing,,no,exact,restart,Palisades nuclear plant restart,"Desk: restart in progress, out of operational total, energized empty. Nameplate 805. Counts=no. Contract date: no source. COD: no source."
holtec-palisades-smr300,offtake_new,,no,exact,,680 MWe,Desk: announced design generation (680 MWe dual-unit). Exploratory. Counts=no. Contract date: no source. COD: no source.
hut8-beacon-point-phase2-it-352,it_capacity,,no,exact,,"Hut 8 commercialized Beacon Point Phase 2 in Nueces County, Texas with a second 352 MW IT lease. The primary does not name the buyer; this row does not...",Beacon Point Phase 2 +352 MW IT. Announced.
lambda-kansas-city-phase-24,it_capacity,,no,exact,,"Lambda said on 28 October 2025 it plans to reuse a 2009 facility in Kansas City, Missouri, as sole tenant. The site is expected to launch with 24 MW of...",Kansas City initial 24 MW DC phase. Announced.
meta-apex-starling-solar-144,offtake_new,,no,exact,,Apex Clean Energy signed a power purchase agreement with Meta for exclusive rights to energy and renewable energy credits from the 144 MW Starling Solar...,Starling Solar 144 MW renewable matching (settled). ppa/matching; counts=no unless construction/operational firm rule applies. Contract date: no source. COD: no source.
meta-constellation-clinton-nuclear,offtake_existing,,no,exact,,"1,121 MW PPA from Clinton","Clinton existing-plant PPA 1,121 MW. Separate from RFP package per factcheck. ppa-signed counts=no. Contract date: no source. COD: no source."
meta-enbridge-clear-fork-solar,offtake_new,,yes,exact,,"Enbridge announced the $900 million, 600 MW Clear Fork Solar Project in Wilson County, Texas, with Meta contracting 100 percent of the output for its...",offtake_new 600 MW Clear Fork Solar (Meta offtake 100%). Contract/FID announced 22 Jul 2025 (Enbridge https://www.prnewswire.com/news-releases/enbridge-announces-600-megawatt-solar-project-to-support-meta-platforms-inc-data-center-operations-302510238.html). COD: not yet operating (in service summer 2027; construction underway). Rule: signed before COD => offtake_new. Counts=yes.
meta-engie-swenson-ranch-solar,offtake_new,,no,exact,,"Meta signed a PPA for 100 percent of the output of ENGIE's 600 MW Swenson Ranch Solar project in Stonewall County, Texas, the largest asset in ENGIE's US...",Swenson Ranch 600 MW solar PPA. ppa/matching; counts=no unless construction/operational firm rule applies. Contract date: no source. COD: no source.
meta-entergy-hyperion-gas-seven,unresolved,,no,exact,,"seven additional plants totaling more than 5,200 MW","unresolved. Seven ADDITIONAL Entergy gas plants >5,200 MW (Entergy/Meta Mar 2026 agreement; LPSC docket U-37882). NOT the same set as meta-entergy-hyperion-gas-three (2,262 MW three CCGTs, LPSC U-37425 approved). No parentId to the 2,262 row. queue test pending. counts=no."
meta-entergy-hyperion-gas-three,grid_gen_for_dc,,yes,exact,,"three 754 MW combined-cycle units, 2,262 MW","Entergy three CCGT units 2,262 MW to serve Hyperion. Utility generation for the campus."
meta-hyperion-richland-parish,it_capacity,,no,exact,target_not_firm,expanding to 5 GW of compute,5 GW compute target (existing numberKind). Not firm contracted IT. Counts=no.
meta-lebanon-lcp-btm-134,btm_gen,,no,exact,,134 MW BTM generation,BTM gas permit design 134 MW. Announced so counts=no (would be announced_line under old rules).
meta-nuclear-rfp-2024,program,,no,exact,,RFP targeting 1 to 4 GW of new nuclear generation,Desk: Meta 4 GW nuclear RFP program parent. Deal rows point here. Announced (counts=no).
meta-oklo-pike-county-ohio,offtake_new,meta-nuclear-rfp-2024,no,up_to,,up to 1.2 GW,Oklo Pike County up to 1.2 GW new-build. Child of nuclear RFP. Bound up_to. Announced (counts=no). Contract date: no source. COD: no source.
meta-prometheus-new-albany-1000,it_capacity,,no,exact,target_not_firm,"1,000 MW AI cluster",Prometheus AI cluster capacity announcement (settled). Not firm utility IT. Counts=no.
meta-rwe-rabbits-foot-solar,offtake_new,,no,exact,,"Meta signed a long-term PPA for the 298 MW Rabbit's Foot Solar project in Bowie County, northeast Texas, the fourth PPA between Meta and RWE. Construction...",Rabbit's Foot 298 MW solar PPA. ppa/matching; counts=no unless construction/operational firm rule applies. Contract date: no source. COD: no source.
meta-sage-geosystems-geothermal,offtake_new,,no,up_to,,up to 150 MW,Up to 150 MW geopressured geothermal. Bound up_to. Announced. Contract date: no source. COD: no source.
meta-socrates-north-btm-200,btm_gen,,yes,exact,,200 MW north plant,Socrates North 200 MW BTM gas. Construction.
meta-socrates-south-btm-200,btm_gen,,yes,exact,,"200 MW gas, behind the meter",Socrates South 200 MW BTM gas. Construction.
meta-sturgeon-alberta-dc-1000,it_capacity,,yes,exact,,"Meta broke ground on its first Canadian data center, a 1,000 MW DC campus in Sturgeon County, Alberta. The figure is DC capacity only. Pembina and...",Sturgeon 1 GW DC. Construction.
meta-terrapower-natrium-smr,offtake_new,meta-nuclear-rfp-2024,no,up_to,,up to 2.8 GW,TerraPower Natrium up to 2.8 GW new-build. Child of nuclear RFP. Bound up_to. Announced (counts=no). Contract date: no source. COD: no source.
meta-vistra-nuclear-pjm,offtake_existing,meta-nuclear-rfp-2024,no,exact,,"2,609 MW of PPAs, of which 2,176 MW is operating Perry and Davis-Besse",Vistra PJM nuclear PPAs on operating plants plus uprates. Offtake existing. Child of nuclear RFP. ppa-signed so counts=no. Contract date: no source. COD: no source.
meta-xgs-energy-geothermal-nm,offtake_new,,no,exact,,150 MW,XGS Energy NM geothermal 150 MW. Announced. Source timed out on factcheck; keep announced counts=no. Contract date: no source. COD: no source.
microsoft-aes-576mw-pjm,offtake_new,,no,exact,,"Microsoft signed a long term agreement with AES to source from a 576 MW portfolio of wind, solar and battery storage assets in the PJM market to deliver...",AES 576 MW around-the-clock renewable portfolio PPA. ppa/matching; counts=no unless construction/operational firm rule applies. Contract date: no source. COD: no source.
microsoft-aragon-spain-datacenter,it_capacity,,no,exact,mw_null,"Microsoft is investing about 6.69 billion euros (roughly 7.16 billion dollars) over ten years to build a data center cluster near Zaragoza in Aragon,...",Datacenter commitment with null MW. Counts=no.
microsoft-brookfield-10500mw-framework,program,,no,exact,,pathway to deliver over 10.5 GW of renewable energy capacity between 2026 and 2030,Desk: program/framework pathway over 10.5 GW. Never counts.
microsoft-chevron-west-texas-gas,btm_gen,,no,exact,,"Kilby is expected to deliver approximately 2.67 gigawatts of capacity, built through a phased, modular approach","btm_gen per Energy GUY rule change 2026-09-24 11:29 PT (plant built to power its own campus is btm_gen even with a grid tie). MW cite: Chevron newsroom https://www.chevron.com/newsroom/2026/q2/chevron-signs-20-year-power-agreement-with-microsoft-for-west-texas-data-center approximately 2.67 GW (approximate; value change 2,500 to 2,670 in value-changes table). Company: Energy Forge One (Chevron/Joulent 50/50 JV), 20-year PPA with Microsoft, co-located in Reeves County TX, behind the meter (https://kilby.com/project/). Grid facts: ERCOT GIS Aug 2026 lists four Energy Forge One Kilby1 INRs at Solstice 345 kV, SS Completed, FIS Started, No IA; projected COD 2027-11 to 2029-07. Gas 371+950+1056 = 2,377 MW is maximum net export studied, not plant size. 330 MW BESS (28INR0457) in notes only, no row. Private use network status: no source. counts=no, HOLD, one pin (no second Kilby pin). Microsoft IT empty. Energized/COD empty. Kate wording: a gas plant planned for the Microsoft campus."
microsoft-constellation-boydton-cfe,it_capacity,,no,exact,,"Constellation and Microsoft agreed to provide hourly carbon free energy matching for Microsoft's Boydton, Virginia data center, with the facility receiving...",Datacenter commitment with null MW. Counts=no.
microsoft-constellation-crane-tmi,offtake_existing,,no,exact,restart,about 835 MW added to the grid from the Crane restart,Crane/TMI Unit 1 restart offtake ~835 MW. Restart of existing plant. Construction but desk treats offtake energize empty; counting restart MW as firm is soft. Counts=no pending Energy GUY on whether restart-under-construction offtake counts. Contract date: no source. COD: no source.
