id,actor,site,province,city,lat,lon,kind,capacityMW,bound,status,sourceUrl,sourceGrade,quote,date,verdict,reason
gds-developable-3-7gw,GDS Holdings,China developable resources held for future development,,,,,it_capacity,3700,approx_filing,announced,https://www.sec.gov/Archives/edgar/data/1526125/000110465926051006/gds-20251231x20f.htm,primary,"As of December 31, 2025, we ... had an estimated aggregate developable resources of approximately 3.7 gigawatts held for potential future development. English: same. Area in service is stated in square meters (668,283 sqm), not MW.",2025-12-31,HOLD,"Future land and power resource, explicitly not under construction. Approximate. GDS reports China operating capacity in floor area, not IT MW. Does not fill the null-MW Shanghai and Beijing campus rows."
huawei-wuhu-backup-diesel,Huawei Cloud,"East China Wuhu data center, vocational-education park phase 1",Anhui,"Wuhu, Yijiang District",,,btm_gen,,exact,announced,https://sthjj.wuhu.gov.cn/hbyw/hjsp/jsxmhpsp/8460929.html,primary,"新建1、2、3-三栋三层数据中心...每栋楼内设置39台1800kW柴油发电机组；新建一座220kV变电站...本期安装3台100MVA主变。 English: Three data-center buildings, 39 diesel generators of 1,800 kW in each building; a new 220 kV substation with three 100 MVA transformers in this phase. Address: 芜湖市弋江区长江南路与毓秀路交叉口.",2023-07-11,HOLD,"Municipal EIA pre-approval notice. Backup diesel unit size and count, and transformer MVA, are not IT load. Units are not summed into a campus MW. A later Huawei Cloud press release says the Wuhu center opened on 14 June 2024 but gives servers (3 million planned) and acreage, not MW. No coordinates in the notice, so lat and lon stay blank."
range-cumulative-delivered-750mw,"Range Intelligent (Runze, 300442.SZ)","Nine-cluster portfolio, cumulative delivered",,,,,it_capacity,750,approx_filing,operating,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/5efd2a2b-c268-4586-9f8e-76eb701fef3e.PDF,primary,"截至目前，公司在全球布局了九个人工智能基础设施集群，合计规划算力规模约6GW，运营规模约750MW。 English: Nine AI infrastructure clusters are laid out globally, with planned computing scale of about 6 GW and operating scale of about 750 MW. 截至报告期末，公司累计交付750MW高质量算力中心。 English: By period end the company had cumulatively delivered 750 MW of computing centers.",2026-04-10,HOLD,Filing figure for cumulative delivered capacity. The same section uses 约 (about) for the 750 MW operating scale. Adding it to the Pinghu 100 MW or Langfang 200 MW rows would double count. Includes Hong Kong and Indonesia in the nine-cluster layout.
range-langfang-substation-960mw,"Range Intelligent (Runze, 300442.SZ)",Jing-Jin-Ji campus self-built 220 kV substation,Hebei,Langfang,,,utility_load,960,exact,operating,http://static.cninfo.com.cn/finalpage/2025-04-24/1223249829.PDF,primary,"2024年1月，京津冀园区自建的高等级220kV变电站顺利投运，其最大供电能力达960MW。 English: In January 2024 the Jing-Jin-Ji campus's self-built 220 kV substation entered service, with maximum supply capability of 960 MW.",2024-01,HOLD,"Operating substation nameplate supply, not IT load and not a generation plant built for the campus. Do not add to the 200 MW Langfang IT row."
range-planned-6gw,"Range Intelligent (Runze, 300442.SZ)",Nine-cluster planned layout,,,,,it_capacity,6000,approx_filing,announced,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/5efd2a2b-c268-4586-9f8e-76eb701fef3e.PDF,primary,"合计规划算力规模约6GW，运营规模约750MW。境内...合计规划算力规模约5.4GW。 English: Total planned computing scale about 6 GW, operating scale about 750 MW. Domestic planned scale about 5.4 GW.",2026-04-10,HOLD,"Planned total, stated as 约. Not shown as constructed or operating. Announced only. Domestic 5.4 GW is inside the 6 GW and is not a second project."
sensetime-lingang-storage,SenseTime,Lingang AIDC battery storage,Shanghai,Lingang,,,storage,17.888,exact,operating,https://www.sensetime.com/cn/news/sensetime-lingang-aidc-5a-certification-20260915-1250,primary,"联合宁德时代打造了规模达17.888MW/35.776MWh的新型储能系统。 English: With CATL, built a new storage system of 17.888 MW / 35.776 MWh. 临港AIDC具备25MW+需求响应能力。 English: Lingang AIDC has 25 MW-plus demand-response capability.",2026-09-15,HOLD,"Company release. The 17.888 MW is battery storage, not IT load. Demand response of 25 MW or more is a capability claim, not a plant. Phase-one 5,000 racks and 3,740 PFLOPS in earlier company material are not MW. Lingang is not on the Atlas."
vnet-east-china-210mw,VNET Group (21Vianet),"Eastern China data center, phases 1 and 2, Dajia pre-REIT",,,,,it_capacity,210,approx_filing,operating,https://www.sec.gov/Archives/edgar/data/1508475/000110465926044361/vnet-20251231x20f.htm,primary,"a data center project located in eastern China ... the first and second phases of the data center project, which currently has a total IT capacity of approximately 210MW. English: same. Agreement dated November 2024.",2024-11,HOLD,"Primary IT capacity, approximate, and VNET says it continues to operate the asset. City is not named. It may sit inside the 311 MW Yangtze River Delta total. Do not add until the campus is identified."
vnet-wholesale-889mw-total,VNET Group (21Vianet),China wholesale self-built total,,,,,it_capacity,889,exact,operating,https://www.sec.gov/Archives/edgar/data/1508475/000110465926044361/vnet-20251231x20f.htm,primary,"As of December 31, 2025, we had an aggregate capacity in service of 889MW from our wholesale IDC business and 49,863 cabinets in service from our retail IDC business. English: same.",2025-12-31,HOLD,"Same 889 MW is the sum of Greater Beijing 578 MW and Yangtze River Delta 311 MW. Keep the two regional rows. Do not also add 889. Retail 49,863 cabinets are not MW."
alibaba-heyuan-annual-kwh,Alibaba Cloud,"Heyuan cloud data center, three parcels",Guangdong,Heyuan,,,unresolved,,approx_filing,operating,http://drc.gd.gov.cn/xmgg/content/post_2585344.html,primary,"项目建成投产后，年综合能耗约167482吨标准煤（当量值），其中年电力消耗量约136266万千瓦时；项目数据中心PUE值为1.26。 English: After completion, annual energy use about 167,482 tonnes of standard coal, of which annual electricity about 1,362.66 million kWh; data-center PUE 1.26. Dated 2019-08-16.",2019-08-16,REJECT,"Primary energy review gives annual electricity and PUE, not megawatts. kWh and PUE are not converted. Heyuan is already on the scope list and the campus is operating in later company material, but this filing does not supply an IT MW. A 2024 Jiangdong EIA approval states 82 backup diesel sets of 2,000 kW after expansion; that unit count is not summed into MW and is not IT load."
alibaba-zhangbei-200mw-existing,Alibaba,Zhangbei data center cluster,Hebei,"Zhangbei, Zhangjiakou",,,it_capacity,,exact,operating,http://www.news.cn/tech/20210722/21ba34f4b01a410db5c1dc94e2378a62/c.html,primary,"张北数据中心的PUE均低于1.25...绿色能源使用率超过了50%...共交易绿电约4.5亿千瓦时。 English: Zhangbei PUE is below 1.25, green-energy use exceeds 50 percent, and about 450 million kWh of green electricity had been traded. No megawatt IT figure.",2021-07-22,REJECT,Already on the Atlas as alibaba-zhangbei-renewable at 200 MW with excludeReason remove_candidate. The live blog URL is a soft 404 (it serves an unrelated MaxCompute article). This Xinhua replacement does not state 200 MW. Do not restore 200 MW.
baidu-yangquan-no-mw,Baidu,Baidu Cloud Computing (Yangquan) Center,Shanxi,Yangquan,,,unresolved,,exact,operating,https://esgs.cdn.bcebos.com/2026/05/17/05/080532d06118abd0b715365f9ae46689.pdf,primary,"The Baidu Cloud Computing (Yangquan) Center has implemented the world's first power supply system combining direct grid electricity and high-voltage direct current (HVDC) offline architecture, achieving a power supply efficiency of 99.5%. English: same. 2025 ESG also: distributed PV generation 268,000 kWh. Lingxi liquid cooling supports rack density over 120 kW at the Baoding phase IV center.",2026-05-17,REJECT,"No campus IT MW in the 2025 ESG report or in the Baidu news page for Yangquan. 120 kW is a rack density. 268,000 kWh is annual PV energy, not MW. Yangquan and Baoding are not IT-MW rows on the Atlas. Baoding phase III EIA (Xushui, 2025-06-11) gives floor area and equipment types, not MW."
chindata-huailai-over-300,Chindata (Bridge Data Centres),Four Huailai campuses,Hebei,"Huailai, Zhangjiakou",,,it_capacity,300,at_least,operating,https://www.insidermonkey.com/blog/chindata-group-holdings-limited-nasdaqcd-q2-2023-earnings-call-transcript-1190139/,secondary,"Our four campuses layout in Huailai County is now well established, with our IT capacity surpassing 300 megawatts. English: same, Q2 2023 earnings call transcript.",2023-08,REJECT,"Huailai is already on the Atlas as cn-huailai-chindata at 500 MW from a newsletter. This transcript is secondary, says surpassing 300 MW, and conflicts with the Atlas 500. Not a new site. Taihang Lingqiu 50 MW is already on the Atlas from a Chindata release."
dayone-it-1250mw,DayOne (GDS minority stake),DayOne international platform,,,,,it_capacity,1250,exact,operating,https://www.sec.gov/Archives/edgar/data/1526125/000110465926051006/gds-20251231x20f.htm,primary,"As of December 31, 2025, DayOne had total IT power committed of 1,250 MW and total IT power billable of 444 MW. English: same. DayOne is described as Singapore-headquartered.",2025-12-31,REJECT,"Primary IT MW, but it is the international DayOne platform, not a China campus. Out of scope for this China file. Committed 1,250 MW and billable 444 MW are different measures and would not be added even if in scope."
highflyer-deepseek-no-mw,High-Flyer / DeepSeek,Firefly-2 training cluster,Zhejiang,,,,unresolved,,exact,operating,https://www.high-flyer.cn/,primary,"幻方AI构建了深度学习训练平台「萤火二号」。 English: High-Flyer AI built the Firefly-2 deep-learning training platform. The public page gives utilization and bandwidth, not electrical MW.",2022-02,REJECT,"No primary EIA, exchange filing, or company page found that states an electrical megawatt for a High-Flyer or DeepSeek data center. Cluster PFLOPS in secondary profiles are not converted."
huawei-wuhu-3-million-servers,Huawei Cloud,Wuhu data center cluster plan,Anhui,Wuhu,,,unresolved,,up_to,announced,https://www.huaweicloud.com/news/2024/20240612174737268.html,primary,"华为云芜湖数据中心规划占地约6000亩，规划了300万台服务器。 English: The Wuhu data center is planned at about 6,000 mu and 3 million servers. The same release says the center opened on 14 June 2024.",2024-06-14,REJECT,Company press. Server count and land area are not MW. Promotional. The opened status does not create an IT megawatt.
iflytek-feixing-pflops,iFlytek,"Feixing-1 / Feixing-2, Hefei",Anhui,Hefei,,,unresolved,,exact,operating,https://disc.static.szse.cn/disc/disk03/finalpage/2025-04-21/dc258dad-4869-48e6-898a-0ec84a9851d3.PDF,primary,"2023年10月24日...首个支撑万亿参数大模型训练的万卡国产算力平台“飞星一号”正式启用。...“飞星二号”正式启动。 English: On 24 Oct 2023 Feixing-1, a domestic 10,000-card platform for trillion-parameter training, was launched. Feixing-2 was started later. No megawatt figure in the annual report passage.",2025-04-21,REJECT,"SZSE annual report gives card-cluster and model claims, not MW. PFLOPS figures in state media are not converted."
sugon-rack-and-malaysia,Sugon (Dawning),Liquid-cooling product deployments; Malaysia job,,,,,equipment_supply,61,exact,announced,http://static.cninfo.com.cn/finalpage/2025-03-05/1222707755.PDF,primary,2024年，公司子公司曙光数创中标客户在马来西亚两栋数据中心项目，项目建设规模合计61MW。...第三代C8000浸没相变液冷解决方案单机柜功率密度突破至750kW以上。 English: In 2024 a subsidiary won two Malaysia data-center buildings totaling 61 MW. Third-generation immersion cooling exceeds 750 kW per rack.,2025-03-05,REJECT,"The 61 MW job is in Malaysia, not China. 750 kW is a per-rack product density, not a China campus. A subsidiary report's 400 MW of cold-plate installations across more than 50 sites is an equipment total, not one operating China data center."
zhipu-moonshot-no-primary-mw,Zhipu; Moonshot,No campus identified,,,,,unresolved,,exact,announced,,secondary,"No primary filing, EIA, or company release with an electrical megawatt for a Zhipu or Moonshot data center was found in this pass.",2026-09-24,REJECT,Searched company and Chinese-language filings. No MW to record. Training clusters described in PFLOPS or card counts are not converted.
