id,actor,site,province,city,lat,lon,kind,capacityMW,bound,status,sourceUrl,sourceGrade,quote,date,verdict,reason
datang-zhongwei-1500mw-wind,Datang Zhongwei New Energy,Zhongwei cloud base data center green power wind portion,Ningxia,Zhongwei,,,grid_gen_for_dc,1500,,announced,https://www.nea.gov.cn/20260508/b975a9364d18444c808318430bf660cf/c.html,secondary,"中卫云基地数据中心绿电供应项目，包括50万千瓦光伏发电和150万千瓦风力发电项目。……150万千瓦风电项目计划今年9月全容量并网。 / The supply project includes 500 MW of PV and 1,500 MW of wind. The wind project is planned to reach full grid connection in September this year.",2026-05-08,HOLD,NEA page reprints China Energy News quoting a Datang engineer. No wind-project approval was fetched. A planned full-connection date in a press reprint is not construction. Promotional.
datang-zhongwei-2gw-envelope,Datang Zhongwei New Energy,Zhongwei cloud base data center green power supply program,Ningxia,Zhongwei,,,grid_gen_for_dc,2000,,announced,https://fzggw.nx.gov.cn/zwgk/zwgkml/xzspsx/202410/t20241030_4712918.html,primary,为满足大唐中卫云基地数据中心2GW绿电供应项目送出需要 / To meet the export need of the Datang Zhongwei cloud-base data center 2 GW green-power supply project,2024-10-29,HOLD,"The 2 GW figure is the program name in the same approval as the 500 MW project. It is an envelope, not a second plant. Do not add it to the 500 MW row."
horinger-cluster-load-554-1100,Horinger cluster (multiple),Horinger New Area data center cluster,Inner Mongolia,Hohhot (Horinger New Area),,,it_capacity,554,,announced,http://m.nmgnews.com.cn/nmgxw/system/2025/07/04/030183336.shtml,secondary,"已建成总负荷554MW，2025年底将达到1100MW。 / Built total load is 554 MW, and it will reach 1,100 MW by the end of 2025.",2025-07-04,HOLD,"Provincial press. Cluster-wide load, not a project. The 1,100 MW figure is a forecast and is not added to 554. Do not sum into the Atlas. Promotional."
huadian-horinger-260mw,"Huadian Energy, Horinger New Area",Horinger 300 MW industrial park green power supply project,Inner Mongolia,Hohhot (Horinger),,,grid_gen_for_dc,260,,permitted,http://www.bbda.com/bidDetail/e75d269a3ae6c961f229b8299cb1699d015b97f146c84c3163d6df56af78f93e.html,secondary,"风电场规划容量为260MW，拟采用42台单机容量6.25MW的风力发电机组，储能75MW/300MWh。 / The wind farm planned capacity is 260 MW, using 42 turbines of 6.25 MW, plus storage of 75 MW / 300 MWh.",2026-08-03,HOLD,"The excerpt is a commercial reprint of Hohhot ecology approval Hu Huan Zheng Pi [2026] No. 78, not the gov.cn original. Title says a 300 MW industrial-park supply project. The body figure used here is the 260 MW wind plan. Storage 75 MW / 300 MWh is not generation and is not added. The text does not name a data center, so it is not appended as computing-center supply."
qingyang-cecc-110kv,China Energy Engineering Guangdong Institute,Qingyang East Data West Computing park 110 kV Nengjian No. 1 substation,Gansu,Qingyang,,,grid_gen_for_dc,,,announced,http://www.chinapower.com.cn:42808/dlxxh/zhxw/20240910/259898.html,secondary,甘肃庆阳“东数西算”源网荷储一体化智慧零碳大数据产业园示范项目数据中心工程110千伏能建1号变电站建成投产。 / The 110 kV Nengjian No. 1 substation for the park data center project was completed and put into operation.,2024-09-10,HOLD,Trade press. No megawatts and no transformer MVA. A press report of commissioning is not used as operating status.
qingyang-cecc-60mw-it,CEEC Green Digital Technology (Qingyang),Qingyang source-grid-load-storage zero-carbon big-data park data halls,Gansu,Qingyang,,,it_capacity,60,,announced,https://www.escn.com.cn/news/show-1711901.html,secondary,"设计建设折合2.4万2.5千瓦标准机柜，总功率60000千瓦。 / Designed as the equivalent of 24,000 standard cabinets of 2.5 kW, total power 60,000 kW.",2024-09-29,HOLD,"Trade press citing China Energy Engineering. 60 MW is stated as total power, separate from the 200 MW renewable case. Partial hall use in the same article is not a primary construction record. Do not count until a government filing repeats 60,000 kW."
qingyang-diantou-aggregation,Gansu Power Investment Qingyang New Energy,Qingyang East Data West Computing park green-power aggregation pilot,Gansu,Qingyang,,,grid_gen_for_dc,1000,,announced,http://xxzx.fujian.gov.cn/jjxx/szjj/202602/t20260203_7088421.htm,secondary,"总规划装机200万千瓦，采用分期建设。首批建设100万千瓦新能源项目，包含75万千瓦风电项目与25万千瓦光伏项目。 / Planned installation 2,000 MW in phases. First slice 1,000 MW, including 750 MW of wind and 250 MW of PV.",2026-01-30,HOLD,"Xinhua reprint on a Fujian government site. State media, promotional. First machines are said to have synchronized. No DRC or grid approval page was fetched, so status stays announced. The 2,000 MW plan is the program total and is not a second row. Separate owner from the CEEC 200 MW case. capacityMW records only the first slice named in the sentence, not a sum of slices."
unicom-qinghai-phase2-16-8,China Unicom Qinghai,"Sanjiangyuan green-power intelligent computing park, phase 2",Qinghai,Xining (Nanchuan),,,it_capacity,16.8,,announced,http://www.qinghai.gov.cn/zwgk/system/2024/08/19/030051532.shtml,secondary,"二期项目拟投资8.8亿元，重点建设智算机房，规划840架高功率服务器机柜，IT总用电容量约16.80MW。 / Phase 2 is planned at RMB 880 million, 840 high-power racks, IT electricity capacity about 16.80 MW.",2024-08-19,HOLD,"Qinghai Daily on the provincial government site. The MW is explicitly IT load but it is planned (拟) and approximate (约), from a signing ceremony, not a filing. Not approx_filing. Investment and the 10,000P figure are not MW."
unicom-qinghai-phase3-32,China Unicom Qinghai,"Sanjiangyuan green-power intelligent computing park, phase 3",Qinghai,Xining (Nanchuan),,,it_capacity,32,,announced,http://www.qinghai.gov.cn/zwgk/system/2024/08/19/030051532.shtml,secondary,"三期项目拟投资9.8亿元，重点建设3栋智算中心，共规划智算服务器机架约984架，总用电容量约32MW。 / Phase 3 is planned at RMB 980 million, three halls, about 984 racks, total electricity capacity about 32 MW.",2024-08-19,HOLD,"Same ceremony report as phase 2. Separate phase, so it is not added to 16.8 MW. Approximate and planned. Not a filing."
unicom-trina-microgrid-kwh,China Unicom and Trina Solar,Sanjiangyuan green-power intelligent computing microgrid,Qinghai,Xining,,,btm_gen,,,announced,http://www.qinghai.gov.cn/zwgk/system/2025/04/19/030070420.shtml,secondary,"通过绿电直供智算中心，年均可提供约1000万千瓦时零碳电力，绿电消纳比例达100%。 / Direct green power to the computing center can supply about 10 million kWh of zero-carbon electricity a year, with 100 percent local use.",2025-04-19,HOLD,"Qinghai Daily on qinghai.gov.cn. Annual kWh is not MW. Ceremony language about full-capacity grid connection is not a grid filing. Kind is on-site or direct supply, but capacity stays blank."
wuhu-cluster-energy-reviews,"Wuhu cluster (multiple, unnamed)",Wuhu data center cluster start area,Anhui,Wuhu,,,it_capacity,,,announced,https://sjzyj.wuhu.gov.cn/openness/public/6596821/39289607.html,primary,"现已有10个项目能评批复。供电方面，规划新建变电站6个、总投资20亿元。 / Ten projects now have energy-review approval. On power supply, six new substations are planned, total investment RMB 2 billion.",,HOLD,"Municipal reply confirms a batch of energy reviews and planned substations, without naming projects or stating MW. Investment is not MW. Do not invent ten rows. The fetched text does not give a document date, so date is blank."
alibaba-zhangbei-200-duplicate,Alibaba,Zhangbei data center cluster,Hebei,Zhangjiakou (Zhangbei),,,it_capacity,200,exact,operational,https://www.alibabacloud.com/blog/alibaba-cloud-zhangbei-data-center_594299,secondary,Already on the Atlas as alibaba-zhangbei-renewable at 200 MW it_capacity and as facility cn-zhangbei-alibaba.,2016-09,REJECT,Duplicate of existing commitment and facility rows. Not a new government find.
chinamobile-horinger-pflops-duplicate,China Mobile,"Hohhot intelligent computing center, Horinger",Inner Mongolia,Hohhot (Horinger),,,it_capacity,,,operational,https://www.news.cn/politics/20250530/e5da7c9099b04454a53b00502b5c6fca/c.html,secondary,以每秒670亿亿次浮点运算能力 / at 6.7 quintillion floating-point operations per second,2025-05-30,REJECT,Already cn-horinger-china-mobile. PFLOPS-class figures are not MW. Xinhua cluster story is promotional.
datang-zhongwei-4600mw-talk,Datang (as described by press),Zhongwei later-phase green power supply talk,Ningxia,Zhongwei,,,grid_gen_for_dc,4600,,announced,https://www.nea.gov.cn/20260508/b975a9364d18444c808318430bf660cf/c.html,secondary,"后续二期项目的接续建设，中卫市将形成规模达460万千瓦的全国首个大规模“算电协同”绿电供应项目。 / With a later phase, Zhongwei will form a 4,600 MW green-power supply project.",2026-05-08,REJECT,Journalist line in a China Energy News reprint. No filing. Do not add to the 500 MW approval or the 2 GW envelope.
edwc-hub-letters,NDRC and co-signers,Eight national computing hubs and ten clusters,,,,,it_capacity,,,announced,https://www.ncsti.gov.cn/kjdt/ztbd/dsxs/zcwj/202204/t20220428_75876.html,primary,长三角枢纽规划设立长三角生态绿色一体化发展示范区数据中心集群和芜湖数据中心集群。……数据中心电能利用效率指标控制在1.25以内。 / The Yangtze Delta hub sets the demonstration-zone cluster and the Wuhu cluster. Data center PUE is controlled within 1.25.,2022-02,REJECT,Hub start-area policy with no project MW. Already policy row cn-edwc. Hub targets are announced only and are never summed.
shaoguan-cluster-rollup-duplicate,"China Telecom, China Mobile, China Unicom",Shaoguan national data center cluster,Guangdong,Shaoguan,,,it_capacity,,,construction,,secondary,Atlas row cn-shaoguan-gba-cluster already covers the carrier cluster rollup.,,REJECT,"Duplicate of the existing cluster rollup. The Tencent Zhenjiang review and the China Telecom project II review are separate APPEND rows, not a second copy of this rollup."
tencent-shaoguan-do-not-convert,Shaoguan Tencent Digital,Tencent Shaoguan Zhenjiang computing center,Guangdong,Shaoguan,,,it_capacity,,,permitted,http://drc.gd.gov.cn/snyj/tzgg/content/post_4519024.html,primary,"建设4320个平均功率为17.36KW的机架（折合29998个标准机架）。 / Build 4,320 racks with average power 17.36 kW (29,998 standard racks).",2024-11-07,REJECT,Reject any MW computed by multiplying rack count by average kilowatts per rack. The permit does not state a total MW. The project itself is the APPEND row tencent-shaoguan-zhenjiang with blank MW.
